city,name,street,tags,zipcode,full_address,latlon,missing
Schoten,Burgerij,Brechtsebaan 298,['Eethuis'],2900,Brechtsebaan 298 2900 Schoten,"(51.27798374196482, 4.526455139252933)",False
Aalst,Bvba Lowie,Molenstraat 16,['Eethuis'],9300,Molenstraat 16 9300 Aalst,"(50.93882800207421, 4.04007531211864)",False
Ledeberg,Bvba Souperette,Bellevuestraat 30b,['Cateraar'],9050,Bellevuestraat 30b 9050 Ledeberg,"(51.03463721275709, 3.734525810008194)",False
Antwerpen,Café Bartilia,Falconplein 43,['Eethuis'],2000,Falconplein 43 2000 Antwerpen,"(51.225295682360944, 4.405346032620327)",False
Gent,Café De Kleine Kunst,Lousbergkaai 99,"['Eethuis', 'EVA voordeel']",9000,Lousbergkaai 99 9000 Gent,,True
Etterbeel,Café des épices,Jourdanplein 21,['Eethuis'],1040,Jourdanplein 21 1040 Etterbeel,"(50.83724616336309, 4.38179865020872)",False
Sint-Gillis,Café des spores,Chaussée d'Alsemberg 103,['Eethuis'],1060,Chaussée d'Alsemberg 103 1060 Sint-Gillis,"(50.82436234124813, 4.343375543608509)",False
Aarschot,Café Diner,Herseltsesteenweg 243,['Eethuis'],3200,Herseltsesteenweg 243 3200 Aarschot,"(51.00510476862285, 4.837067915899821)",False
Kortrijk,Café Fernand,Zwevegemsestraat 61,['Eethuis'],8500,Zwevegemsestraat 61 8500 Kortrijk,"(50.82424474523215, 3.273557858855834)",False
Hasselt,Café Latino,Zuivelmarkt 12,['Eethuis'],3500,Zuivelmarkt 12 3500 Hasselt,"(50.93087469351139, 5.339439252105995)",False
Elsene,Café Panisse,Rue du Tabellion 31,"['Eethuis', 'Veganvriendelijk']",1050,Rue du Tabellion 31 1050 Elsene,"(50.82353737991498, 4.357014817606931)",False
Gent,Café Parti,Maria-Hendrikaplein 65a,"['Eethuis', 'Veganvriendelijk']",9000,Maria-Hendrikaplein 65a 9000 Gent,,True
Brussel,Café Walvis,Rue A. Dansaertstraat 205,['Snack'],1000,Rue A. Dansaertstraat 205 1000 Brussel,"(50.847862473722664, 4.351854614231369)",False
Brussel,Cafeabc,Phillippe de Champagnestraat 23,"['Eethuis', 'Snack']",1000,Phillippe de Champagnestraat 23 1000 Brussel,,True
